CountryGrouped,RemoteWork,avg_hourly_salary,total_budget
Australia,Onsite,23.34438086154824,4418357.0
Australia,Remote,24.61111111111111,5640.0
Bangladesh,Onsite,26.111205432937183,1469897.0
Canada,Onsite,24.398383073879764,7307487.0
Canada,Remote,20.903225806451612,11550.0
China,Onsite,23.989079925650557,889323.0
China,Remote,20.0,820.0
France,Onsite,23.82495256166983,955273.0
France,Remote,22.5,100.0
Germany,Onsite,24.64152507252383,1470020.0
Germany,Remote,22.833333333333332,14820.0
India,Onsite,22.862907315836186,13900200.0
India,Remote,17.631147540983605,94212.0
Israel,Onsite,24.28585178055823,527986.0
Israel,Remote,8.125,400.0
Italy,Onsite,23.719416386083054,744446.0
Italy,Remote,25.833333333333332,1115.0
Netherlands,Onsite,22.914515398550726,1061843.0
Netherlands,Remote,29.236842105263158,6800.0
Others,Onsite,24.239531451761668,16014423.0
Others,Remote,23.90625,73114.0
Pakistan,Onsite,23.126064735945487,1325276.0
Pakistan,Remote,31.5,125760.0
Philippines,Onsite,25.206982543640898,3962079.0
Philippines,Remote,18.25,4300.0
Saudi Arabia,Onsite,24.24149061032864,484399.0
Saudi Arabia,Remote,27.5,1100.0
Singapore,Onsite,23.443327974276528,749206.0
Singapore,Remote,23.846153846153847,3405.0
Spain,Onsite,23.635620263262865,2017531.0
Spain,Remote,29.416666666666668,1200.0
Switzerland,Onsite,24.469937606352808,1423988.0
Switzerland,Remote,24.5,400.0
Ukraine,Onsite,24.675485436893204,635823.0
Ukraine,Remote,17.5,105.0
United Arab Emirates,Onsite,23.82389468455042,2454548.0
United Arab Emirates,Remote,19.73076923076923,9100.0
United Kingdom,Onsite,25.4336440766733,7843525.0
United Kingdom,Remote,25.37272727272727,14410.0
United States,Onsite,27.07632226558745,38330339.0
United States,Remote,35.103954802259885,433280.0
